Type, Gram, Sentence
location,asia,"Moreover the creation of the Eurasian Economic Union (EEU) in 2014 has opened up the region by loosening the borders between its member states and made it easier for drug traffickers to reach Europe once they make it past the porous 810-mile-long Afghan-Tajik border and through Tajikistan."



actor,asia,"The EU-funded Border Management for Central Asia program the Organization for Security and Co-operation in Europe’s Border Management Staff College and the UN International Organization for Migration border projects together spent $83 million between 2005 and 2013 in this effort."



actor,asia,"Sebastien Peyrouse PhD is a research professor at the Central Asia Program in the Institute for European Russian and Eurasian Studies (George Washington University) and a senior fellow at the East West Institute."



location,asia,"His main areas of expertise are political systems in Central Asia economic and social issues Islam and religious minorities and Central Asia’s geopolitical positioning toward China India and South Asia."



actor,idus,"Although injection of heroin or home-made opiates (eg so-called khanka) predominates stimulant injection has also substantially increased with 69% of IDUs in one Kazakhstan study43 reporting methamphetamine use."



actor,idus,"Reported HIV cases among IDUs increased substantially between 2002 and 2006 with increases of 82 cases (482%) in Tajikistan 323 (130%) in Uzbekistan 662 (132%) in Kazakhstan and 39 (30%) in Kyrgyzstan44 and HIV prevalence among IDUs is increasing across the sub-region."



actor,idus,"31 However HIV surveillance among IDUs is subject to selection bias often focusing on registered IDUs who have longer injecting histories or are more likely to be in contact with health services."



actor,idus,"32 Sentinel surveillance data suggest HIV prevalence of about 7% among IDUs in Kyrgyzstan (ranging from 2% in Bishkek to 13% in the Osh province) 4% in Kazakhstan and 16% in Uzbekistan and Tajikistan overall32 but outbreaks of HIV among IDUs in specific cities have recently been reported resulting in substantially higher prevalence (table 3)."



actor,idus,"For example in Dushanbe HIV prevalence among IDUs rose from 3·9%49 in 2001 to 12% in 200444 and 24% in 200644 whereas in Karaganda Kazakhstan HIV prevalence has reached 19%."



location,10,"Moreover the creation of the Eurasian Economic Union (EEU) in 2014 has opened up the region by loosening the borders between its member states and made it easier for drug traffickers to reach Europe once they make it past the porous 810-mile-long Afghan-Tajik border and through Tajikistan."



ignore,10,"107 It is also believed in Dushanbe that if he  would decide to run against Rakhmonov in the pr esidential election of 2005 he possesses the  means necessary to stand as the main challenger."



ignore,10,"108  The combination of formal/legal and in a ll likelihood informal/illegal power structures  makes Ubaidulloev an illustrativ e example of how criminal interests are allowed to set u p  parallel power structures and economies that operate quite independently of official  directions."



ignore,10,"109 At the very least the appointment of Mirzoev as Head of the DCA  shows that internationally funded drug control is used as a tool in the domestic politics of the  country."



event,trafficking,"For many years Tajikistan has been gravely affected by drug trafficking."



event,trafficking,"Despite an official Tajik government policy to fight illicit drug trafficking in cooperation with foreign governments and international organizations trafficking continues to increase."



event,trafficking,"Trafficking is a product of numerous complex factors including large-scale opium production in Afghanistan a growing economic and social crisis in Tajikistan and complicity within the Tajik administration."



event,trafficking,"Since the 1990s the international community has consistently invested in the fight against drug trafficking into and through Tajikistan."



event,trafficking,"Responsibility for the increase in drug trafficking has often been assigned to Afghanistan Islamist groups such as the Taliban and local and regional Islamist networks including the Islamic Movement of Uzbekistan."



event,hiv epidemic," Central Asia: Hotspot in the Worldwide HIV Epidemic The Lancet Infectious Diseases 2010 Jul;10(7):479-88."



impact,hiv epidemic,"Prevalence of Injection Drug Use in Eastern Europe and Central Asia (EECA) "The EECA region is home to an estimated one quarter of all people who inject drugs worldwide and has the fastest growing HIV epidemic related to unsafe injecting."



impact,hiv epidemic,"Injecting drug use has driven the HIV epidemic in central Asia so far accounting for 50–70% of cumulative HIV cases."



actor,republic tajikistan,Disconnect Between Official Estimates And Actual Prevalence Of Injection Drug Use In Tajikistan "The problem of injecting drug use and the related increase in the number of diagnosed HIV infections remains of high importance in the Republic of Tajikistan.



location,republic tajikistan,"Hasanov Kh.B. Muhabatov M.S. Makhsutov M.N. Chikalov Y.P. Murodova F.R. and Nurlyaminova Z.A. "2012 National Report on the Drug Situation in the Republic of Tajikistan (Drug situation in 2011)" (Dushanbe: National Centre for Monitoring and Prevention of Drug Addiction Ministry of Health of the Republic of Tajikistan/Central Asia Drug Action Programme (CADAP)) p. 22."



location,republic tajikistan,"Hasanov Kh.B. Muhabatov M.S. Makhsutov M.N. Chikalov Y.P. Murodova F.R. and Nurlyaminova Z.A. "2012 National Report on the Drug Situation in the Republic of Tajikistan (Drug situation in 2011)" (Dushanbe: National Centre for Monitoring and Prevention of Drug Addiction Ministry of Health of the Republic of Tajikistan/Central Asia Drug Action Programme (CADAP)) p. 27."



location,republic tajikistan,"Cumulatively 15871 clients were reached by harm reduction services in 2011 making up about 63% of the estimated number of IDUs in Tajikistan (National Coordinating Council on Prevention and the Fight against HIV TB and Malaria in the Republic of Tajikistan 2012)."



location,republic tajikistan,"The provision of harm reduction materials to all programmes is done exclusively through GFATM funding and at the present moment there are no alternative sources of funding which jeopardises the future sustainability of harm reduction programmes in the country (National Coordinating Council on Prevention and the Fight against HIV TB and Malaria in the Republic of Tajikistan 2012)"."



impact,hiv infection,"31 Rapid and substantial increases in HIV infections have recently been reported in western Siberia Russia with increases of up to 700% mostly among IDUs;50 increasing HIV prevalence has also been reported among IDUs living in Kazakhstan along the Russian border."



event,hiv infection,"The prevalence of HIV infection among adults in Ukraine is the highest in Europe: over 1."



event,hiv infection,"Disconnect Between Official Estimates And Actual Prevalence Of Injection Drug Use In Tajikistan "The problem of injecting drug use and the related increase in the number of diagnosed HIV infections remains of high importance in the Republic of Tajikistan."



impact,hiv infection,"Prevalence of HIV Infection in Tajikistan 2011 As of December 31 2011 a cumulative total of 3846 HIV infections had been diagnosed in the country with HIV infections among males comprising 77."



ignore,hiv infection,"HIV infections were registered in 66 out of 68 districts of the country."



ignore,ehrn vilnius lithuania,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) p. 13."



ignore,ehrn vilnius lithuania,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) p. 25."



ignore,ehrn vilnius lithuania,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) pp."



ignore,ehrn vilnius lithuania,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) p. 23."



ignore,ehrn vilnius lithuania,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) pp."



location,vilnius lithuania 2012,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) p. 13."



location,vilnius lithuania 2012,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) p. 25."



location,vilnius lithuania 2012,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) pp."



location,vilnius lithuania 2012,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) p. 23."



location,vilnius lithuania 2012,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) pp."



ignore,claire thorne et,"6 Claire Thorne et al."



ignore,claire thorne et,"50 Claire Thorne et al."



ignore,claire thorne et,"32475657 Claire Thorne et al."



ignore,claire thorne et,"Claire Thorne et al."



ignore,claire thorne et,"28–30 Claire Thorne et al."



ignore,thorne et al,"6 Claire Thorne et al."



ignore,thorne et al,"50 Claire Thorne et al."



ignore,thorne et al,"32475657 Claire Thorne et al."



ignore,thorne et al,"Claire Thorne et al."



ignore,thorne et al,"28–30 Claire Thorne et al."



ignore,drug cost eurasian harm,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) pp."



ignore,drug cost eurasian harm,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) p. 23."



ignore,drug cost eurasian harm,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) pp."



ignore,cost eurasian harm reduction,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) p. 13."



ignore,cost eurasian harm reduction,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) p. 25."



ignore,cost eurasian harm reduction,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) pp."



ignore,cost eurasian harm reduction,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) p. 23."



ignore,cost eurasian harm reduction,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) pp."



ignore,eurasian harm reduction network,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) p. 13."



ignore,eurasian harm reduction network,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) p. 25."



ignore,eurasian harm reduction network,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) pp."



ignore,eurasian harm reduction network,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) p. 23."



ignore,eurasian harm reduction network,"Merkinaite S. "A war against people who use drugs: the costs" (Eurasian Harm Reduction Network (EHRN): Vilnius Lithuania 2012) pp."



event,percent,"The industry committed to increasing R&D investment in the country up to 10 percent of sales by 1996."



event,percent,"3 Half of this was paid by public-sector sources (predominantly provincial prescription drug benefit programs and hospitals) about 29 percent by individuals with some private insurance; and 21 percent out of pocket."



event,percent,"9 percent annually (compared with the average figure of 0."



ignore,generic,"Another part of the drug price problem with biologic medications is the difficulty in making a generic equivalent."



event,generic,"Thus biosimilar medications are as close to a generic equivalent as a biologic medication can get—and they’re nowhere near as affordable as a standard generic due to the production costs."



event,generic,"While generic medications coming into the market have helped bring significant savings to consumers some have been met with unexpected shortages or are on an indefinite back order by their manufacturer."



event,generic,"One of the possible solutions on the horizon happens to be Canadian government funded pharma-related research and development—particularly for generic medications."



event,generic,"The idea is to consider the list of consistent generic shortages and work toward creating a drug manufacturing entity that would fill the gap."



event,average,"4% of total healthcare costs in Canada and cost an average of $1086 per Canadian."



event,average,"7 Between 1988 and 1993 the PMPI increased each year representing an increase in average price in each of the years over the previous one."



event,average,"Between 1988 and 1999 manufacturers’ prices for all prescription and nonprescription drugs increased an average of 1."



event,average,"9 percent annually (compared with the average figure of 0."



event,average,"8 percent for prescription drugs) which is less than the average annual increase in the CPI (2."



event,increase,"Part of the reason for the increase in overall spending including medications imported from Canada has to do with more expensive medications like biologics hitting the market."



event,increase,"In 1968 this coverage was increased to include physician services with the passage of the Medical Care Act."



event,increase,"It also predicted an increase in numbers of scientific and research-related jobs as a result of the legislation."



event,increase,"This was in part the result of negotiations under the General Agreement on Tariffs and Trade (GATT) and the North America Free Trade Agreement (NAFTA); it increased patent protection to up to twenty years and eliminated compulsory licensing."



location,united state,"They also could eventually cut the earnings of drugmakers in the United States the world’s largest pharmaceutical market."



location,united state,"Canada will change the list of countries the federal drug price regulator the Patented Medicine Prices Review Board (PMPRB) compares domestic prices to dropping the United States and Switzerland where prices are highest."



location,united state,"Tips from A Canadian Drug Pharmacy  By CanadaDrugsOnline  To many Americans Canadian drugs are the epitome of affordability compared with the astronomical prices they may face inside the United States."



location,united state,"Right now there is no universal health coverage for prescriptions in Canada and their pricing system is very similar to that of the United States."



location,united state,"Because of their life-saving capabilities biologics represent the fastest growing segment and cost to healthcare spending in Canada and the United States."



actor,federal government,"Right now there are over 100 pharmacare programs in Canada between provinces and the federal government."



actor,federal government,"These include the establishment of a semi-judicial body by the federal government to control factory-gate prices and of various measures at the provincial level such as formulary management use of generics reference-based pricing price freezes and limits on markups."



actor,federal government,"Although a royal commission on health care appointed by the federal government (the Hall Commission named after the chair Justice Emmett Hall) had recommended inclusion of out-patient prescription drugs in this coverage this did not happen."



actor,federal government,"4  Price Control: The Federal Government Role  The federal responsibility for drug price control rests with the PMPRB an independent quasi-judicial body."



actor,federal government,"This could include a financial settlement with the federal government that reflects excess revenues earned since the price first exceeded the guidelines."



event,dispensing fee,"6 billion was spent on prescription drugs (including drug costs copayments and dispensing fees)."



ignore,dispensing fee,"Markups and dispensing fees."



event,dispensing fee,"Similarly they have some control over dispensing fees for drugs paid for by their programs since they are set either by them or through negotiations with provincial pharmacists’ associations."



event,dispensing fee,"Specifically since 1988 in Ontario as a condition for listing a patented drug manufacturers must enter into agreements with government forecasting what the drug will cost the program (excluding dispensing fees and markups) each year for three years."



event,dispensing fee,"In the retail sector however there is no control over markups and dispensing fees (as there is in the provincial programs); patients paying for their own medications may face higher final prices."



event,research development,"One of the possible solutions on the horizon happens to be Canadian government funded pharma-related research and development—particularly for generic medications."



event,research development,"Drug manufacturers set high prices presumably to cover the costs of research and development for new drugs."



event,research development,"This means an extra two years of delayed research and development of biosimilar generics for these medications—mostly manufactured by American companies."



event,research development,"However compulsory licensing was seen as contributing to low levels of research and development (R&D) investment (about 4."



event,research development,"The patented-drug manufacturers’ association Rx&D has recently expressed concern about the pricing restrictions of the PMPRB: “It must be realized that attempts to lower prices below current levels will ultimately have a negative impact on Canadians’ access to new medications and the benefits of research and development investment”."



ignore,provincial drug program,"Price is therefore an important consideration for coverage by a provincial drug program."



event,provincial drug program,"Provincial (and other) drug programs use generic substitution to control expenditures."



event,provincial drug program,"Provincial governments can limit markups so that prices of drugs bought under the provincial drug program will be controlled."



event,provincial drug program,"A recent analysis of prices and expenditures by six of the provincial drug programs from 1990 to 1997 provides some insight into all three areas."



event,provincial drug program,"In 1996 Canadian prices for nonpatented single-source products (in the six provincial drug programs reviewed) were on average 30 percent higher than the median international price."



actor,patented drug manufacturer,"9 percent of sales in 1969) by the drug industry and the patented drug manufacturers lobbied for change."



actor,patented drug manufacturer,"Following such a hearing it can order the manufacturer to reduce the price so that it is no longer considered excessive reduce it even further for a specified time period so as to offset previously earned excess revenues reduce the price of one other patented drug of the same manufacturer and if required order a payment to the government of Canada equal to excess revenues."



actor,patented drug manufacturer,"Specifically since 1988 in Ontario as a condition for listing a patented drug manufacturers must enter into agreements with government forecasting what the drug will cost the program (excluding dispensing fees and markups) each year for three years."



actor,patented drug manufacturer,"9 percent of sales in 1969) by the drug industry and the patented drug manufacturers lobbied for change."



actor,patented drug manufacturer,"Following such a hearing it can order the manufacturer to reduce the price so that it is no longer considered excessive reduce it even further for a specified time period so as to offset previously earned excess revenues reduce the price of one other patented drug of the same manufacturer and if required order a payment to the government of Canada equal to excess revenues."



event,drug benefit program,"3 Half of this was paid by public-sector sources (predominantly provincial prescription drug benefit programs and hospitals) about 29 percent by individuals with some private insurance; and 21 percent out of pocket."



event,drug benefit program,"This began in 1974 with the Ontario government’s Drug Benefit Program for needy and elderly persons."



event,drug benefit program,"The drug benefits program will only reimburse —for any drug in the category—the price of this reference product."



event,drug benefit program,"3 Half of this was paid by public-sector sources (predominantly provincial prescription drug benefit programs and hospitals) about 29 percent by individuals with some private insurance; and 21 percent out of pocket."



event,drug benefit program,"This began in 1974 with the Ontario government’s Drug Benefit Program for needy and elderly persons."



event,drug spending continues,"Prescription Canadian Drug Spending Continues to Rise  In 2017 drug costs made up 16."



event,drug spending continues,"Total drug spending in the country continues to rise however; clearly mechanisms other than price controls will need to be developed if drug spending is to be better managed."



event,drug spending continues,"At the same time drug spending continues to increase."



event,drug spending continues,"Total drug spending in the country continues to rise however; clearly mechanisms other than price controls will need to be developed if drug spending is to be better managed."



event,drug spending continues,"At the same time drug spending continues to increase."



actor,medicine price review pmprb,"Canada will change the list of countries the federal drug price regulator the Patented Medicine Prices Review Board (PMPRB) compares domestic prices to dropping the United States and Switzerland where prices are highest."



actor,medicine price review pmprb,"Reportedly the Canadian government is currently examining the impacts of a national pharmacare plan as well as changes to Canada’s Patented Medicine Prices Review Board (PMPRB) — which currently sets the prices for patented medicines."



actor,medicine price review pmprb,"WATCH: Americans flock to Canada for cheaper insulin  1:58 Americans flock to Canada for cheaper insulin Americans flock to Canada for cheaper insulin  Under the new rules Canada will change the list of countries the federal drug price regulator the Patented Medicine Prices Review Board (PMPRB) compares domestic prices to dropping the United States and Switzerland where prices are highest."



actor,medicine price review pmprb,"It also created the federal Patented Medicine Prices Review Board (PMPRB)."



actor,medicine price review pmprb,"It also created the federal Patented Medicine Prices Review Board (PMPRB)."



event,based pricing price freeze,"These include the establishment of a semi-judicial body by the federal government to control factory-gate prices and of various measures at the provincial level such as formulary management use of generics reference-based pricing price freezes and limits on markups."



event,based pricing price freeze,"These include the use of formularies generic substitution reference-based pricing price freezes controls on markups and dispensing and “risk sharing”."



event,based pricing price freeze,"These include the establishment of a semi-judicial body by the federal government to control factory-gate prices and of various measures at the provincial level such as formulary management use of generics reference-based pricing price freezes and limits on markups."



event,based pricing price freeze,"These include the use of formularies generic substitution reference-based pricing price freezes controls on markups and dispensing and “risk sharing”."



event,based pricing price freeze,"These include the establishment of a semi-judicial body by the federal government to control factory-gate prices and of various measures at the provincial level such as formulary management use of generics reference-based pricing price freezes and limits on markups."



actor,health institution private insurer,"Because outpatient drugs are not considered “medically necessary services” covered by the act there now are numerous payers for prescription drugs in the country including the federal and provincial governments health care institutions private insurers and patients."



actor,health institution private insurer,"Health care institutions private insurers (unions employers insurance companies) and individual patients also pay for drugs."



actor,health institution private insurer,"Health care institutions private insurers (unions employers insurance companies) and individual patients also pay for drugs."



actor,health institution private insurer,"Because outpatient drugs are not considered “medically necessary services” covered by the act there now are numerous payers for prescription drugs in the country including the federal and provincial governments health care institutions private insurers and patients."
